,0,1,2
0,1.6189072627374481,0.6165749356709443,0.39665965553780824
1,56.439435800957504,2.4623504780016634,1.053851381298294
2,2615.172030245122,58.23462527750903,19.365359170899513
3,121222.16980096058,1556.975454816066,438.7948566402542
4,5620135.51030139,42654.10581641382,9949.179887926617
5,260611068.53284964,1193392.1052248285,225605.26046650438
6,12087001057.268759,33957173.33820159,5116539.229322491
7,560689179925.2234,978513992.0862029,116046199.27998134
8,26013690161723.527,28451650915.0136,2632060479.2358303
9,1207135915598237.0,832389219472.8179,59698674943.7423
10,5.6025151321690616e+16,24453247857926.504,1354050854402.6658
11,2.6006433377560443e+18,720317572971390.8,30711837740409.375
12,1.207390274798041e+20,2.1255760801166156e+16,696589361778279.5
13,5.606371900832485e+21,6.27946909196123e+17,1.5799667486791452e+16
14,2.6036447156743514e+23,1.8564621875862106e+19,3.583596345219099e+17
15,1.2093315171782324e+25,5.491008341898122e+20,8.128122374646212e+18
16,5.617862521510456e+26,1.6246044967468154e+22,1.8435774451237064e+20
17,2.6101002957262377e+28,4.807573158931679e+23,4.1815042284144233e+21
18,1.2128355572380235e+30,1.4230555969268219e+25,9.484265323938415e+22
19,5.636423063535162e+31,4.219416246166918e+26,2.1511705803639142e+24
20,2.6197539543517625e+33,1.2533666330381047e+28,4.8791706142838815e+25
21,1.2177861437681446e+35,3.732220721113467e+29,1.1066675094120946e+27
22,5.661526206401665e+36,1.1149751181480598e+31,2.510084342684639e+28
23,2.6323666429292605e+38,3.3450653458829765e+32,5.693239707380502e+29
24,1.2240749745236592e+40,1.0090451322381805e+34,1.2913103282876666e+31
25,5.692681569197982e+41,3.0647259116363674e+35,2.928881356924542e+32
26,2.6477164499657886e+43,9.386662001235672e+36,6.643132804738421e+33
27,1.2316016847066936e+45,2.9035808229688458e+38,1.5067600248492756e+35
28,5.72943547820847e+46,9.0834136047331e+39,3.4175528914078907e+36
29,2.665598414307536e+48,2.876626785205142e+41,7.751511569826506e+37
30,1.240273725620279e+50,9.226304351067496e+42,1.758156597026433e+39
31,5.771370252295183e+51,2.996403320407194e+44,3.9877572158958947e+40
32,2.685824127620057e+53,9.846068173828728e+45,9.04481866963677e+41
33,1.2500061516772032e+55,3.269503802927968e+47,2.0514976298082136e+43
34,5.818103091708225e+56,1.0955014939377175e+49,4.653097733442712e+44
35,2.7082211661547143e+58,3.698148469376944e+50,1.0553908618941038e+46
36,1.2607213343247878e+60,1.2559152546786587e+52,2.393781380012988e+47
37,5.869284655851134e+61,4.285288228197891e+53,5.429447517683603e+48
38,2.7326323909749216e+63,1.4674830658731736e+55,1.2314783878518114e+50
39,1.2723486207287458e+65,5.039178468902384e+56,2.7931737341722574e+51
40,5.924597410859175e+66,1.7339708298302507e+58,6.335327997821644e+52
41,2.7589151531071887e+68,5.975715765236447e+59,1.436945376828766e+54
42,1.2848239535861849e+70,2.0617238595234773e+61,3.259203022636703e+55
43,5.983753820162834e+71,7.119236246560289e+62,7.392350825615405e+56
44,2.7869404361893423e+73,2.4598126560469382e+64,1.6766936686493148e+58
45,1.2980894665103322e+75,8.50286006080294e+65,3.802987337596576e+59
46,6.046494441826006e+76,2.9401531626084145e+67,8.625733466012671e+60
47,2.8165919646842243e+78,1.0169002787001138e+69,1.9564429544935247e+62
48,1.3120930672912993e+80,3.517727274163567e+70,4.43749977815715e+63
49,6.112585986404842e+81,1.2170287697352664e+72,1.0064900811913884e+65
50,2.84776530105021e+83,4.2109438683503973e+73,2.2828672319558633e+66
51,1.3267880191760947e+85,1.457092424422892e+75,5.1778779504403917e+67
52,6.18181937914422e+86,5.0421511855036787e+76,1.174418717582918e+69
53,2.880366950725141e+88,1.7448575497708488e+78,2.6637540270561858e+70
54,1.3421325282512787e+90,6.038307804916331e+79,6.041785106475133e+71
55,6.254007861026149e+91,2.0896744229408534e+81,1.3703655405887942e+73
56,2.9143134895976364e+93,7.231824854827025e+82,3.1081901817736694e+74
57,1.3580893431394445e+95,2.502772960693184e+84,7.049831537593439e+75
58,6.328985154830779e+96,8.661599941865747e+85,1.5990052667911767e+77
59,2.9495307249274115e+98,2.9976232496826862e+87,3.6267786394492613e+78
60,1.3746253715750327e+100,1.0374271729557386e+89,8.226066275542174e+79
61,6.406603715110274e+101,3.590371464273959e+90,1.8657925695704439e+81
62,2.985952897481958e+103,1.2425732942323723e+92,4.231891399920433e+82
63,1.3917113170265833e+105,4.3003645934407e+93,9.598550831855859e+83
64,6.4867330748572096e+106,1.4882949136697793e+95,2.1770922116161413e+85
65,3.0235219299890366e+108,5.150780588425216e+96,4.93796467915685e+86
66,1.4093213373707378e+110,1.782614130800684e+98,1.1200028663232635e+88
67,6.569258296618479e+111,6.169384174068623e+99,2.540330889500154e+89
68,3.0621867248320186e+113,2.1351402760273476e+101,5.761843315038626e+90
69,1.4274327266876177e+115,7.389432791249576e+102,1.3068706334389154e+92
70,6.654078531781151e+116,2.557383515320177e+104,2.964174412878112e+93
71,3.1019025121869106e+118,8.850762117280721e+105,6.723182635790708e+94
72,1.4460256205098324e+120,3.0631305787199944e+107,1.524916501465532e+96
73,6.741105688616179e+121,1.0601086523786805e+109,3.458734445295015e+97
74,3.142630248471554e+123,3.6688948595604367e+110,7.844917378474946e+98
75,1.4650827242938085e+125,1.269755688080758e+112,1.7793424053938518e+100
76,6.830263207292873e+126,4.3944555675025333e+113,4.0358097388251574e+101
77,3.1843360639761883e+128,1.520862653841674e+115,9.153808844560624e+102
78,1.484589064464283e+130,5.263503531199336e+116,2.076218201186762e+104
79,6.9214849383336135e+131,1.8216286392167526e+118,4.709167617696991e+105
80,3.226990757825445e+133,6.30441473185432e+119,1.0681083346099934e+107
81,1.504531761086899e+135,2.1818741997840396e+121,2.42262647474259e+108
82,7.014714119770577e+136,7.551176821567149e+122,5.494872426275766e+109
83,3.270569337929776e+138,2.613362013967874e+124,1.2463177173961217e+111
84,1.5248998210238313e+140,9.0444988768554e+125,2.8268315116248414e+112
85,7.109902447462318e+141,3.1301809547091667e+127,6.411668777212216e+113
86,3.3150506032663134e+143,1.0833140621498078e+129,1.4542605860880845e+115
87,1.5456839503059504e+145,3.7492061162922687e+130,3.298476458680746e+116
88,7.207009232572729e+146,1.2975504519432345e+132,7.481428742931e+117
89,3.360416765662243e+148,4.490649816840738e+133,1.6968978477396635e+119
90,1.5668763843935382e+150,1.5541542721943445e+135,3.8488133812464713e+120
91,7.306000639999928e+151,5.378721567599319e+136,8.729673659138656e+121
92,inf,1.8615041134169156e+138,1.9800181158791372e+123
93,inf,6.442418558136154e+139,4.490971704429553e+124
94,inf,2.229635517971006e+141,1.0186182989054023e+126
95,inf,7.716472468219484e+142,2.310375809853184e+127
96,inf,2.6705686590990577e+144,5.240271442689432e+128
97,inf,9.242483521498113e+145,1.1885704774068956e+130
98,inf,3.198700821858399e+147,2.6958522954647862e+131
99,inf,1.1070278809920586e+149,6.114588690456484e+132
